COUNTY,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2019,Q2_2019,Q3_2019,Q4_2019
Alameda,284809,289950,301350,276215,338360,341088,415611,373483
Alpine,320,379,501,444,251,238,302,280
Amador,7425,8634,8563,7387,8623,10568,9061,7517
Butte,42344,46057,49035,47530,201524,1534838,39234,43547
Calaveras,8819,9233,9384,9011,11615,10347,3778,9921
Colusa,4955,5246,6081,6181,5691,6147,6176,5730
Contra Costa,173462,182382,179169,183849,201339,212562,191676,188942
Del Norte,4662,4482,4902,4288,4373,4898,43,
El Dorado,26804,34698,37078,32725,30394,44630,46286,40468
Fresno,165678,172502,175096,171272,229724,243384,251550,240323
Glenn,4408,4754,5135,5410,60200,6313,7752,7309
Humboldt,21624,22308,24937,21088,25182,28474,26230,25549
Imperial,55425,69233,55620,61926,47572,50010,38788,43100
Inyo,5604,6584,6721,6599,5044,6130,6401,461
Kern,192175,192987,183437,184848,257622,265283,286139,277200
Kings,24390,25026,24426,22887,27632,30726,29067,27973
Lake,9806,11295,10813,9235,12371,15068,13422,12383
Lassen,4793,5291,5334,4469,4888,6019,6214,5217
Los Angeles,2067704,2068655,2069941,2057969,2867064,2998622,2668754,2607515
Madera,29219,30349,29480,29460,38020,42037,39006,39568
Marin,42463,45463,46716,45465,54806,61281,62973,62195
Mariposa,2276,3190,3719,2825,4133,15434,4461,3362
Mendocino,11716,12299,12716,11789,15844,6457,13656,12958
Merced,51308,54988,53496,52724,67795,71029,66777,71852
Modoc,1249,1435,1675,1538,1167,13072,1516,1263
Mono,3758,4995,7713,5256,4020,6755,8630,8789
Monterey,79058,89920,91410,84595,105752,117572,157805,135408
Napa,25231,30045,31916,27659,38603,69208,37571,35313
Nevada,17232,17159,19222,16655,17600,20251,21689,19568
Orange,697795,707360,702276,696383,815103,886827,869330,802048
Placer,58603,58567,58889,62160,75842,83960,71341,69521
Plumas,3026,4645,5313,2211,4554,7007,4982,3648
Riverside,444279,452758,442314,445843,615116,664914,620841,614758
Sacramento,279422,289853,291946,286451,355523,385171,376309,372883
San Benito,10132,14220,14621,13755,18935,22816,23025,23409
San Bernardino,388431,404951,401020,402699,479505,521567,489531,491256
San Diego,728741,762588,759729,736426,874624,897622,731562,697120
San Francisco,109872,114586,117447,113427,215675,197663,153608,146064
San Joaquin,142467,157495,153095,148774,216026,237145,208010,219062
San Luis Obispo,57592,58239,57674,53482,70347,79091,69820,69175
San Mateo,134417,139670,142162,141376,149204,161745,154346,158076
Santa Barbara,84492,86377,85963,82908,103371,120184,105855,105665
Santa Clara,280991,294405,301685,293602,360627,399276,346792,345528
Santa Cruz,39385,45223,43976,40956,56775,62813,60798,54322
Shasta,34212,37113,39365,36441,46572,49290,52785,52050
Sierra,491,675,1114,504,655,656,43,20
Siskiyou,6907,8001,8467,7443,7900,10307,10697,9394
Solano,83710,83321,78608,82353,111569,94390,115181,116413
Sonoma,88773,95180,93668,85142,114692,114922,126070,117157
Stanislaus,42845,70610,51854,52430,90825,103499,81065,90191
Sutter,,,,,,,,
Tehama,9662,10647,10633,36434,15505,18940,17064,14770
Trinity,1618,1854,2147,1765,1840,2639,2835,1438
Tulare,76442,79229,77910,78290,106058,116571,111752,112252
Tuolumne,9058,10371,11594,9032,9872,12769,12950,10969
Ventura,188193,192680,199385,198055,250250,253798,253509,245495
Yolo,38829,40158,42028,41132,46837,48648,52120,47609
Yuba,28551,31554,34738,33579,40814,43773,43807,41070
